asset,cycle_id,halving_date,next_halving_date,asset_first_data_date,asset_last_data_date,cycle_source,asset_pre_halving_bottom_date,asset_pre_halving_bottom_price,asset_local_top_date,asset_local_top_price,asset_next_bear_bottom_date,asset_next_bear_bottom_price,D_asset_prev_bottom_to_halving,D_asset_halving_to_top,D_asset_top_to_next_bottom,mult_asset_bottom_to_top,drawdown_asset_pct
eth,C1,2012-11-28,2016-07-09,2016-03-09,2026-08-23,missing,,,,,,,,,,,
eth,C2,2016-07-09,2020-05-11,2016-03-09,2026-08-23,actual,2016-04-28,7.33,2018-01-13,1379.9,2018-12-15,84.44081115722656,72,553,336,188.2537517053206,0.9388065721014374
eth,C3,2020-05-11,2024-04-20,2016-03-09,2026-08-23,actual,2018-12-15,84.44081115722656,2021-11-08,4807.3,2022-06-18,995.26,513,546,222,56.93100213176463,0.7929690262725438
eth,C4,2024-04-20,2028-04-01,2016-03-09,2026-08-23,actual,2022-11-09,1102.6,2025-08-22,4836.2,2026-06-25,1564.816650390625,528,489,307,4.386178124433158,0.6764367374404232
xrp,C1,2012-11-28,2016-07-09,2017-05-19,2026-08-23,missing,,,,,,,,,,,
xrp,C2,2016-07-09,2020-05-11,2017-05-19,2026-08-23,missing,,,,,,,,,,,
xrp,C3,2020-05-11,2024-04-20,2017-05-19,2026-08-23,actual,2020-03-12,0.1396349966526031,2021-04-14,1.83923602104187,2022-06-18,0.30742,60,338,430,13.17174107589727,0.8328545132419405
xrp,C4,2024-04-20,2028-04-01,2017-05-19,2026-08-23,actual,2022-11-09,0.3331809937953949,2025-07-22,3.5525,2026-08-16,0.9919729828834534,528,458,390,10.662372902884059,0.720767633248852
sol,C1,2012-11-28,2016-07-09,2020-04-10,2026-08-23,missing,,,,,,,,,,,
sol,C2,2016-07-09,2020-05-11,2020-04-10,2026-08-23,missing,,,,,,,,,,,
sol,C3,2020-05-11,2024-04-20,2020-04-10,2026-08-23,actual,2020-05-11,0.5152729749679565,2021-11-06,258.934326171875,2022-12-29,9.6512,0,544,418,502.51874006778144,0.9627272283953818
sol,C4,2024-04-20,2028-04-01,2020-04-10,2026-08-23,actual,2022-12-29,9.6512,2025-01-18,261.8697509765625,2026-06-06,62.18980407714844,478,273,504,27.13338765920948,0.7625162744256229
mstr,C3,2020-05-11,2024-04-20,1998-06-11,2026-08-21,actual,2020-03-18,9.220000267028809,2021-02-09,127.29399871826172,2022-12-29,13.663000106811523,54,274,688,13.806290133577496,0.8926657953683137
mstr,C4,2024-04-20,2028-04-01,1998-06-11,2026-08-21,actual,2022-12-29,13.663000106811523,2024-11-20,473.8299865722656,2026-06-26,82.30999755859375,478,214,583,34.679790885461784,0.8262879093954507
wgmi,C1,2012-11-28,2016-07-09,2022-02-08,2026-08-21,mara_proxy_C1,2012-09-10,30.15999984741211,2014-12-23,154.72000122070312,2015-11-13,21.440000534057617,79,755,325,5.129973541229276,0.8614270917470189
wgmi,C2,2016-07-09,2020-05-11,2022-02-08,2026-08-21,mara_proxy_C2,2015-11-13,21.440000534057617,2017-01-25,34.08000183105469,2020-03-18,0.4000000059604645,239,200,1148,1.5895522846148407,0.9882629112538377
wgmi,C3,2020-05-11,2024-04-20,2022-02-08,2026-08-21,mara_proxy_C3,2020-03-18,0.4000000059604645,2021-11-09,76.08999633789062,2022-12-28,3.150000095367432,54,547,414,190.22498801015334,0.9586016526879655
wgmi,C4,2024-04-20,2028-04-01,2022-02-08,2026-08-21,actual_C4_open,2022-12-28,4.090000152587891,2026-06-18,72.0999984741211,,,479,789,,17.62836082744418,
riot,C1,2012-11-28,2016-07-09,2016-03-31,2026-07-29,missing,,,,,,,,,,,
riot,C2,2016-07-09,2020-05-11,2016-03-31,2026-07-29,actual,2016-04-01,2.630000114440918,2017-12-19,38.59999847412109,2020-03-18,0.6499999761581421,99,528,820,14.676804864826641,0.983160621713653
riot,C3,2020-05-11,2024-04-20,2016-03-31,2026-07-29,actual,2020-03-18,0.6499999761581421,2021-02-17,77.9000015258789,2022-12-28,3.289999961853028,54,282,679,119.84616058959082,0.9577663684543053
riot,C4,2024-04-20,2028-04-01,2016-03-31,2026-07-29,actual_C4_open,2022-12-28,3.289999961853028,2026-06-23,28.690000534057617,,,479,794,,8.720365005079982,
mara,C1,2012-11-28,2016-07-09,2012-05-04,2026-07-29,actual,2012-09-10,30.15999984741211,2014-12-23,154.72000122070312,2015-11-13,21.440000534057617,79,755,325,5.129973541229276,0.8614270917470189
mara,C2,2016-07-09,2020-05-11,2012-05-04,2026-07-29,actual,2015-11-13,21.440000534057617,2017-01-25,34.08000183105469,2020-03-18,0.4000000059604645,239,200,1148,1.5895522846148407,0.9882629112538377
mara,C3,2020-05-11,2024-04-20,2012-05-04,2026-07-29,actual,2020-03-18,0.4000000059604645,2021-11-09,76.08999633789062,2022-12-28,3.150000095367432,54,547,414,190.22498801015334,0.9586016526879655
mara,C4,2024-04-20,2028-04-01,2012-05-04,2026-07-29,actual,2022-12-28,3.150000095367432,2024-11-29,27.420000076293945,2026-02-05,6.730000019073486,479,223,433,8.704761665442279,0.7545587162528153
spx,C1,2012-11-28,2016-07-09,1990-01-02,2026-08-14,actual,2011-10-03,1099.22998046875,2015-05-21,2130.820068359375,2016-02-11,1829.0799560546875,422,904,266,1.9384661137523915,0.14160750444640424
spx,C2,2016-07-09,2020-05-11,1990-01-02,2026-08-14,actual,2016-02-11,1829.0799560546875,2019-07-26,3025.860107421875,2020-03-23,2237.39990234375,149,1112,241,1.6543071818186854,0.2605739119082796
spx,C3,2020-05-11,2024-04-20,1990-01-02,2026-08-14,actual,2020-03-23,2237.39990234375,2022-01-03,4796.56005859375,2022-10-12,3577.030029296875,49,602,282,2.1438098989676346,0.2542509661923039
spx,C4,2024-04-20,2028-04-01,1990-01-02,2026-08-14,actual_C4_open,2022-11-03,3719.889892578125,2026-08-13,7798.990234375,,,534,845,,2.096564806914162,
ndx,C1,2012-11-28,2016-07-09,1990-01-02,2026-08-14,actual,2011-08-19,2038.219970703125,2015-07-20,4679.68017578125,2016-02-09,3947.800048828125,467,964,204,2.295964244804696,0.15639533033492858
ndx,C2,2016-07-09,2020-05-11,1990-01-02,2026-08-14,actual,2016-02-09,3947.800048828125,2019-07-26,8016.9501953125,2020-03-20,6994.2900390625,151,1112,238,2.030738663598799,0.12756224391264748
ndx,C3,2020-05-11,2024-04-20,1990-01-02,2026-08-14,actual,2018-12-24,5899.35009765625,2021-11-19,16573.33984375,2022-12-28,10679.33984375,504,557,404,2.8093501096560476,0.3556313969041488
ndx,C4,2024-04-20,2028-04-01,1990-01-02,2026-08-14,actual_C4_open,2022-12-28,10679.33984375,2026-06-02,30660.599609375,,,479,773,,2.871020124649266,
dxy,C1,2012-11-28,2016-07-09,1990-01-01,2026-08-14,actual,2011-07-26,73.47000122070312,2015-03-13,100.33000183105467,2016-05-02,92.62999725341795,491,835,416,1.3655914000826594,0.07674677999710122
dxy,C2,2016-07-09,2020-05-11,1990-01-01,2026-08-14,actual,2015-01-16,92.5199966430664,2016-12-20,103.29000091552734,2018-02-15,88.58999633789062,540,164,422,1.11640731369685,0.14231778920845084
dxy,C3,2020-05-11,2024-04-20,1990-01-01,2026-08-14,actual,2020-03-09,94.9000015258789,2022-09-27,114.11000061035156,2023-07-13,99.7699966430664,63,869,289,1.2024235908914518,0.12566824897540396
dxy,C4,2024-04-20,2028-04-01,1990-01-01,2026-08-14,actual,2023-07-13,99.7699966430664,2025-01-13,109.95999908447266,2026-01-27,96.22000122070312,282,268,379,1.1021349382005257,0.1249545105326374
tlt,C1,2012-11-28,2016-07-09,2002-07-30,2026-08-14,actual,2011-07-01,93.62999725341795,2015-01-30,138.27999877929688,2015-06-26,115.2300033569336,516,793,147,1.4768770996012068,0.16669074071335832
tlt,C2,2016-07-09,2020-05-11,2002-07-30,2026-08-14,actual,2015-06-26,115.2300033569336,2019-08-28,147.8000030517578,2019-12-31,135.47999572753906,379,1145,125,1.2826520762473312,0.08335593416668896
tlt,C3,2020-05-11,2024-04-20,2002-07-30,2026-08-14,actual,2018-11-28,114.4499969482422,2020-11-20,161.50999450683594,2023-10-19,82.7699966430664,530,193,1063,1.4111839127429222,0.4875239956771644
tlt,C4,2024-04-20,2028-04-01,2002-07-30,2026-08-14,actual,2023-10-19,82.7699966430664,2024-12-06,94.38999938964844,2026-08-14,82.04000091552734,184,230,616,1.1403890687188452,0.1308401160502125
gold,C1,2012-11-28,2016-07-09,2000-08-30,2026-08-14,actual,2011-07-01,1482.300048828125,2013-08-27,1420.5999755859375,2015-12-17,1050.800048828125,516,272,842,0.9583754494975789,0.26031249691193725
gold,C2,2016-07-09,2020-05-11,2000-08-30,2026-08-14,actual,2015-12-17,1050.800048828125,2019-09-04,1550.300048828125,2019-11-27,1453.4000244140625,205,1152,84,1.4753520905875988,0.06250404525711617
