asset,zone,base_start,base_end,outer_start,outer_end,price_low,price_high,regime_state_at_anchor,regime_multiplier_b4,b4_price_low_unconditional,b4_price_high_unconditional,b4_price_low_regime_adjusted,b4_price_high_regime_adjusted,multiplier_source,anchor_event,anchor_price,observed_c4_top_price,observed_c4_top_date,compression_fit_used,support_band_low,support_band_high,cross_check_ok,cross_check_rel_diff,compression_fit_note
eth,bear_bottom,2026-06-27,2026-09-13,2026-05-19,2026-10-22,1157.5194,2099.1870,normal,1.000000,1157.5194,2099.1870,1157.5194,2099.1870,fallback_to_1.0,BTC ratio-of-ratios B4,1684.9268,4831.3486,2025-08-22,2_stage_with_observed_c4,,,,,"B4 (post-C4-top bear bottom). Timing: BTC B4 2026-10-22 + alt lag (n=2, median=-78d). Price: mode=btc_ratio_of_ratios; ETH per-cycle (pre,post): [C2:pre=$7.33,post=$84.44, C3:pre=$84.44,post=$995.26, C4:pre=$1.1k,post=NA]. BTC per-cycle (pre,post): [C1:pre=$2.15,post=$171.41, C2:pre=$171.00,post=$3.2k, C3:pre=$3.1k,post=$15.8k, C4:pre=$15.7k,post=NA]. Per-cycle ratios (ETH/BTC): C2: 11.52/18.59=0.620, C3: 11.79/5.05=2.334. Using ror at C2 = 0.620. BTC B4/B3 ratio = 2.73x (band 1.88x-3.40x from next_cycle_zones.csv). ETH B4 = ETH_C3 ($995.26) * 2.73 * 0.620 = $1.7k (band $1.2k - $2.1k).."
eth,accumulation,2026-11-05,2028-04-01,2026-10-23,2028-04-01,,,,,,,,,,H5,,4831.3486,2025-08-22,2_stage_with_observed_c4,,,,,"acc: starts after B4 event; price-free (entry price = B4 zone). mode=2_stage_with_observed_c4; Observed C4 top: 2025-08-22 @ $4.8k. Stage 1: bear-bottom chain [$7.33, $84.44, $995.26, $1.1k, $1.6k] -> ratio_n = 15.99*idx^-1.80 (R2=0.70) -> B4 = $1.6k (band $1.6k - $3.7k). Stage 2 cross-check: dd_n=0.95*idx^-0.293 (R2=0.98) -> C4 dd=0.631, B4_via_dd=$1.8k. Cross-check: rel_diff=-12.1% (OK). C5 mult=2.00, C5 top=$3.1k (band $3.1k - $7.4k)."
eth,distribution,2029-08-31,2029-10-02,2029-08-03,2029-10-06,3129.6333,7405.7278,,,,,,,,projected_B4,1564.8167,,,2_stage_with_observed_c4,,,True,-0.1213,"mode=2_stage_with_observed_c4; Observed C4 top: 2025-08-22 @ $4.8k. Stage 1: bear-bottom chain [$7.33, $84.44, $995.26, $1.1k, $1.6k] -> ratio_n = 15.99*idx^-1.80 (R2=0.70) -> B4 = $1.6k (band $1.6k - $3.7k). Stage 2 cross-check: dd_n=0.95*idx^-0.293 (R2=0.98) -> C4 dd=0.631, B4_via_dd=$1.8k. Cross-check: rel_diff=-12.1% (OK). C5 mult=2.00, C5 top=$3.1k (band $3.1k - $7.4k)."
eth,exit,2030-06-20,2030-08-16,2030-03-13,2030-09-07,1153.5174,2729.5964,,,,,,,,dd_x_c5top,576.7587,,,2_stage_with_observed_c4,,,True,-0.1213,"exit: mode=2_stage_with_observed_c4; Observed C4 top: 2025-08-22 @ $4.8k. Stage 1: bear-bottom chain [$7.33, $84.44, $995.26, $1.1k, $1.6k] -> ratio_n = 15.99*idx^-1.80 (R2=0.70) -> B4 = $1.6k (band $1.6k - $3.7k). Stage 2 cross-check: dd_n=0.95*idx^-0.293 (R2=0.98) -> C4 dd=0.631, B4_via_dd=$1.8k. Cross-check: rel_diff=-12.1% (OK). C5 mult=2.00, C5 top=$3.1k (band $3.1k - $7.4k)."
xrp,bear_bottom,2026-03-20,2026-07-18,2026-01-19,2026-09-16,0.5943,0.9920,normal,1.000000,0.5943,0.9920,0.5943,0.9920,fallback_to_1.0,Stage 1 ratio-path B4,0.7932,3.5558,2025-07-21,naive_median_own_dd,,,,,"B4 (post-C4-top bear bottom). Timing: BTC B4 2026-10-22 + alt lag (n=1, median=-156d). Price: Stage 1 ratio-path (band $0.59 - $0.99); drawdown cross-check: drawdowns src=BTC (fallback) (n=3); dd_min=0.767 dd_max=0.849 dd_med=0.834. Anchor=[observed C4 top 2025-07-21 @ $3.56] x (1 - dd_proj)."
xrp,accumulation,2027-06-12,2028-04-01,2026-10-21,2028-04-01,,,,,,,,,,H5,,3.5558,2025-07-21,naive_median_own_dd,,,,,"acc: starts after B4 event; price-free (entry price = B4 zone). mode=naive_median_own_dd; n_dds=2 (>= 2), n_mults=2 (>= 2). Asset's own drawdowns=[0.833, 0.721] and multipliers=[13.172, 10.672] used directly (no borrowed BTC shape, no power-law extrapolation). Anchor: own observed C4 top 2025-07-21 @ $3.56. Drawdown median=0.777 (band 0.721-0.833) -> B4 center=$0.79 (band $0.59 - $0.99). Multiplier median=11.92 (band 10.67-13.17) -> C5 center=$9.46 (band $6.34 - $13.07). B5 (post-C5 bottom)=$2.11 (band $1.06 - $3.65)."
xrp,distribution,2029-04-03,2029-06-02,2029-03-05,2029-07-02,6.3428,13.0660,,,,,,,,naive_median_own_dd,0.7932,,,naive_median_own_dd,,,None,nan,"mode=naive_median_own_dd; n_dds=2 (>= 2), n_mults=2 (>= 2). Asset's own drawdowns=[0.833, 0.721] and multipliers=[13.172, 10.672] used directly (no borrowed BTC shape, no power-law extrapolation). Anchor: own observed C4 top 2025-07-21 @ $3.56. Drawdown median=0.777 (band 0.721-0.833) -> B4 center=$0.79 (band $0.59 - $0.99). Multiplier median=11.92 (band 10.67-13.17) -> C5 center=$9.46 (band $6.34 - $13.07). B5 (post-C5 bottom)=$2.11 (band $1.06 - $3.65)."
xrp,exit,2030-06-07,2030-06-27,2030-03-31,2030-09-05,1.4148,2.9145,,,,,,,,dd_x_c5top,0.1769,,,naive_median_own_dd,,,None,nan,"exit: mode=naive_median_own_dd; n_dds=2 (>= 2), n_mults=2 (>= 2). Asset's own drawdowns=[0.833, 0.721] and multipliers=[13.172, 10.672] used directly (no borrowed BTC shape, no power-law extrapolation). Anchor: own observed C4 top 2025-07-21 @ $3.56. Drawdown median=0.777 (band 0.721-0.833) -> B4 center=$0.79 (band $0.59 - $0.99). Multiplier median=11.92 (band 10.67-13.17) -> C5 center=$9.46 (band $6.34 - $13.07). B5 (post-C5 bottom)=$2.11 (band $1.06 - $3.65)."
sol,bear_bottom,2026-09-30,2027-01-28,2026-08-01,2027-03-29,77.8998,86.0457,normal,1.000000,77.8998,86.0457,77.8998,86.0457,fallback_to_1.0,Stage 1 ratio-path B4,81.9727,261.8200,2025-01-18,borrowed_2_stage_from_ETH,,,,,"B4 (post-C4-top bear bottom). Timing: BTC B4 2026-10-22 + alt lag (n=1, median=+38d). Price: Stage 1 ratio-path (band $77.90 - $86.05); drawdown cross-check: drawdowns src=BTC (fallback) (n=3); dd_min=0.767 dd_max=0.849 dd_med=0.834. Anchor=[observed C4 top 2025-01-18 @ $261.82] x (1 - dd_proj)."
sol,accumulation,2027-08-06,2028-04-01,2027-03-30,2028-04-01,,,,,,,,,,H5,,261.8200,2025-01-18,borrowed_2_stage_from_ETH,,,,,"acc: starts after B4 event; price-free (entry price = B4 zone). mode=borrowed_2_stage_from_ETH; SOL's own dd/mult series are dominated by its C3 first-cycle monster (mult=502x), so own naive-median would publish an absurd C5 band. Borrowed ETH's per-cycle shape aligned by ASSET-CYCLE ORDINAL (not BTC cycle number): SOL C3~ETH C2, SOL C4~ETH C3, SOL C5(projected)~ETH C4 (observed). Parent ETH dds=[0.939, 0.793, 0.676], mults=[188.25, 56.99, 4.39]. Projected dd at ordinal 3 = 0.687 -> B4 = $81.97 (band $77.90 - $86.05). Projected C5 multiplier = 7.12 -> C5 top = $583.89 (band $214.69 - $1.6k). B5 (post-C5 bottom) = $182.81 (band $45.75 - $654.35)."
sol,distribution,2029-03-07,2029-07-21,2028-12-30,2029-09-27,214.6923,1584.0516,,,,,,,,projected_B4_via_drawdown,81.9727,,,borrowed_2_stage_from_ETH,,,None,nan,"mode=borrowed_2_stage_from_ETH; SOL's own dd/mult series are dominated by its C3 first-cycle monster (mult=502x), so own naive-median would publish an absurd C5 band. Borrowed ETH's per-cycle shape aligned by ASSET-CYCLE ORDINAL (not BTC cycle number): SOL C3~ETH C2, SOL C4~ETH C3, SOL C5(projected)~ETH C4 (observed). Parent ETH dds=[0.939, 0.793, 0.676], mults=[188.25, 56.99, 4.39]. Projected dd at ordinal 3 = 0.687 -> B4 = $81.97 (band $77.90 - $86.05). Projected C5 multiplier = 7.12 -> C5 top = $583.89 (band $214.69 - $1.6k). B5 (post-C5 bottom) = $182.81 (band $45.75 - $654.35)."
