asset,date,close,sma_50w,sma_200w,below_sma_50w,below_sma_200w,event_first_below_50w,event_first_below_200w,event_reclaim_50w,event_reclaim_200w
eth,2017-11-06,307.9079895019531,,,False,False,False,False,False,False
eth,2017-11-13,354.385986328125,,,False,False,False,False,False,False
eth,2017-11-20,471.3299865722656,,,False,False,False,False,False,False
eth,2017-11-27,465.8529968261719,,,False,False,False,False,False,False
eth,2017-12-04,441.7210083007813,,,False,False,False,False,False,False
eth,2017-12-11,719.9749755859375,,,False,False,False,False,False,False
eth,2017-12-18,694.1480102539062,,,False,False,False,False,False,False
eth,2017-12-25,756.7329711914062,,,False,False,False,False,False,False
eth,2018-01-01,1153.1700439453125,,,False,False,False,False,False,False
eth,2018-01-08,1366.77001953125,,,False,False,False,False,False,False
eth,2018-01-15,1049.5799560546875,,,False,False,False,False,False,False
eth,2018-01-22,1246.010009765625,,,False,False,False,False,False,False
eth,2018-01-29,834.6820068359375,,,False,False,False,False,False,False
eth,2018-02-05,814.6599731445312,,,False,False,False,False,False,False
eth,2018-02-12,923.9210205078124,,,False,False,False,False,False,False
eth,2018-02-19,844.8099975585938,,,False,False,False,False,False,False
eth,2018-02-26,866.677978515625,,,False,False,False,False,False,False
eth,2018-03-05,723.3389892578125,,,False,False,False,False,False,False
eth,2018-03-12,538.6439819335938,,,False,False,False,False,False,False
eth,2018-03-19,524.2869873046875,,,False,False,False,False,False,False
eth,2018-03-26,379.6069946289063,,,False,False,False,False,False,False
eth,2018-04-02,400.5079956054688,,,False,False,False,False,False,False
eth,2018-04-09,531.7020263671875,,,False,False,False,False,False,False
eth,2018-04-16,621.8599853515625,,,False,False,False,False,False,False
eth,2018-04-23,688.8809814453125,,,False,False,False,False,False,False
eth,2018-04-30,792.3109741210938,,,False,False,False,False,False,False
eth,2018-05-07,733.4959716796875,,,False,False,False,False,False,False
eth,2018-05-14,715.3690185546875,,,False,False,False,False,False,False
eth,2018-05-21,572.6680297851562,,,False,False,False,False,False,False
eth,2018-05-28,618.3289794921875,,,False,False,False,False,False,False
eth,2018-06-04,526.47900390625,,,False,False,False,False,False,False
eth,2018-06-11,500.447998046875,,,False,False,False,False,False,False
eth,2018-06-18,457.6719970703125,,,False,False,False,False,False,False
eth,2018-06-25,453.9179992675781,,,False,False,False,False,False,False
eth,2018-07-02,489.1189880371094,,,False,False,False,False,False,False
eth,2018-07-09,449.8500061035156,,,False,False,False,False,False,False
eth,2018-07-16,459.6570129394531,,,False,False,False,False,False,False
eth,2018-07-23,466.6650085449219,,,False,False,False,False,False,False
eth,2018-07-30,410.5159912109375,,,False,False,False,False,False,False
eth,2018-08-06,319.57000732421875,,,False,False,False,False,False,False
eth,2018-08-13,300.8340148925781,,,False,False,False,False,False,False
eth,2018-08-20,275.1969909667969,,,False,False,False,False,False,False
