date,close,sma_50w,sma_200w,below_sma_50w,below_sma_200w,event_first_below_50w,event_first_below_200w,event_reclaim_50w,event_reclaim_200w
2011-08-15,11.7,,,False,False,False,False,False,False
2011-08-22,10.0,,,False,False,False,False,False,False
2011-08-29,8.89,,,False,False,False,False,False,False
2011-09-05,7.4,,,False,False,False,False,False,False
2011-09-12,4.92,,,False,False,False,False,False,False
2011-09-19,6.05,,,False,False,False,False,False,False
2011-09-26,4.82,,,False,False,False,False,False,False
2011-10-03,3.89,,,False,False,False,False,False,False
2011-10-10,4.05,,,False,False,False,False,False,False
2011-10-17,2.27,,,False,False,False,False,False,False
2011-10-24,3.5,,,False,False,False,False,False,False
2011-10-31,2.95,,,False,False,False,False,False,False
2011-11-07,3.35,,,False,False,False,False,False,False
2011-11-14,2.37,,,False,False,False,False,False,False
2011-11-21,2.77,,,False,False,False,False,False,False
2011-11-28,2.93,,,False,False,False,False,False,False
2011-12-05,3.27,,,False,False,False,False,False,False
2011-12-12,3.5,,,False,False,False,False,False,False
2011-12-19,4.27,,,False,False,False,False,False,False
2011-12-26,5.0,,,False,False,False,False,False,False
2012-01-02,7.0,,,False,False,False,False,False,False
2012-01-09,7.15,,,False,False,False,False,False,False
2012-01-16,6.79,,,False,False,False,False,False,False
2012-01-23,5.5,,,False,False,False,False,False,False
2012-01-30,5.6,,,False,False,False,False,False,False
2012-02-06,5.67,,,False,False,False,False,False,False
2012-02-13,4.38,,,False,False,False,False,False,False
2012-02-20,4.98,,,False,False,False,False,False,False
2012-02-27,4.81,,,False,False,False,False,False,False
2012-03-05,5.0,,,False,False,False,False,False,False
2012-03-12,5.25,,,False,False,False,False,False,False
2012-03-19,4.54,,,False,False,False,False,False,False
2012-03-26,4.89,,,False,False,False,False,False,False
2012-04-02,4.76,,,False,False,False,False,False,False
2012-04-09,4.99,,,False,False,False,False,False,False
2012-04-16,5.17,,,False,False,False,False,False,False
2012-04-23,4.91,,,False,False,False,False,False,False
2012-04-30,5.08,,,False,False,False,False,False,False
2012-05-07,4.94,,,False,False,False,False,False,False
2012-05-14,5.03,,,False,False,False,False,False,False
2012-05-21,5.07,,,False,False,False,False,False,False
2012-05-28,5.19,,,False,False,False,False,False,False
2012-06-04,5.42,,,False,False,False,False,False,False
2012-06-11,6.19,,,False,False,False,False,False,False
2012-06-18,6.4,,,False,False,False,False,False,False
2012-06-25,6.52,,,False,False,False,False,False,False
2012-07-02,6.73,,,False,False,False,False,False,False
2012-07-09,7.57,,,False,False,False,False,False,False
2012-07-16,8.42,,,False,False,False,False,False,False
2012-07-23,8.71,5.41,,False,False,False,False,False,False
2012-07-30,10.71,5.39,,False,False,False,False,False,False
2012-08-06,11.49,5.42,,False,False,False,False,False,False
2012-08-13,8.06,5.4,,False,False,False,False,False,False
2012-08-20,10.31,5.46,,False,False,False,False,False,False
2012-08-27,10.18,5.57,,False,False,False,False,False,False
2012-09-03,10.98,5.67,,False,False,False,False,False,False
2012-09-10,11.75,5.81,,False,False,False,False,False,False
2012-09-17,11.99,5.97,,False,False,False,False,False,False
2012-09-24,12.22,6.13,,False,False,False,False,False,False
2012-10-01,11.71,6.32,,False,False,False,False,False,False
2012-10-08,11.79,6.49,,False,False,False,False,False,False
2012-10-15,11.32,6.65,,False,False,False,False,False,False
2012-10-22,10.54,6.8,,False,False,False,False,False,False
2012-10-29,10.64,6.96,,False,False,False,False,False,False
2012-11-05,10.82,7.12,,False,False,False,False,False,False
2012-11-12,11.51,7.29,,False,False,False,False,False,False
2012-11-19,12.31,7.48,,False,False,False,False,False,False
2012-11-26,12.42,7.65,,False,False,False,False,False,False
2012-12-03,13.29,7.83,,False,False,False,False,False,False
2012-12-10,13.27,8.0,,False,False,False,False,False,False
2012-12-17,13.14,8.12,,False,False,False,False,False,False
2012-12-24,13.2,8.24,,False,False,False,False,False,False
2012-12-31,13.15,8.37,,False,False,False,False,False,False
2013-01-07,13.64,8.53,,False,False,False,False,False,False
2013-01-14,15.5,8.73,,False,False,False,False,False,False
2013-01-21,17.6,8.97,,False,False,False,False,False,False
2013-01-28,20.29,9.29,,False,False,False,False,False,False
2013-02-04,23.7,9.66,,False,False,False,False,False,False
2013-02-11,26.98,10.11,,False,False,False,False,False,False
2013-02-18,29.78,10.6,,False,False,False,False,False,False
2013-02-25,34.33,11.18,,False,False,False,False,False,False
2013-03-04,45.29,12.0,,False,False,False,False,False,False
