asset,cycle_id,event_kind,date,drawdown_pct,date_str,observed_states,predicted_states,h7_match
dxy,C1,top,2015-03-13,0.0767467799971012,2015-03-13,"bull_steep,normal",inverted_flat,0
dxy,C1,bottom,2016-05-02,,2016-05-02,normal,"bear_steep,bull_steep",0
dxy,C2,top,2016-12-20,0.1423177892084508,2016-12-20,normal,inverted_flat,0
dxy,C2,bottom,2018-02-15,,2018-02-15,normal,"bear_steep,bull_steep",0
dxy,C3,top,2022-09-27,0.1256682489754039,2022-09-27,"bull_steep,inverted_flat,normal",inverted_flat,1
dxy,C3,bottom,2023-07-13,,2023-07-13,"inverted_flat,normal","bear_steep,bull_steep",0
dxy,C4,top,2025-01-13,0.1249545105326374,2025-01-13,normal,inverted_flat,0
dxy,C4,bottom,2026-01-27,,2026-01-27,normal,"bear_steep,bull_steep",0
gold,C1,top,2013-08-27,0.2603124969119372,2013-08-27,normal,"bull_steep,inverted_flat",0
gold,C1,bottom,2015-12-17,,2015-12-17,normal,"bear_steep,normal",1
gold,C2,top,2019-09-04,0.0625040452571161,2019-09-04,normal,"bull_steep,inverted_flat",0
gold,C2,bottom,2019-11-27,,2019-11-27,normal,"bear_steep,normal",1
gold,C3,top,2023-05-04,0.112988293170929,2023-05-04,"inverted_flat,normal","bull_steep,inverted_flat",1
gold,C3,bottom,2023-10-05,,2023-10-05,"inverted_flat,normal","bear_steep,normal",1
gold,C4,top,2026-01-29,,2026-01-29,normal,"bull_steep,inverted_flat",0
ndx,C1,top,2015-07-20,0.1563953303349285,2015-07-20,normal,"bull_steep,inverted_flat",0
ndx,C1,bottom,2016-02-09,,2016-02-09,normal,"bear_steep,normal",1
ndx,C2,top,2019-07-26,0.1275622439126474,2019-07-26,normal,"bull_steep,inverted_flat",0
ndx,C2,bottom,2020-03-20,,2020-03-20,normal,"bear_steep,normal",1
ndx,C3,top,2021-11-19,0.3556313969041488,2021-11-19,"bull_steep,normal","bull_steep,inverted_flat",1
ndx,C3,bottom,2022-12-28,,2022-12-28,"bull_steep,inverted_flat,normal","bear_steep,normal",1
ndx,C4,top,2026-06-02,,2026-06-02,normal,"bull_steep,inverted_flat",0
spx,C1,top,2015-05-21,0.1416075044464042,2015-05-21,"bull_steep,normal","bull_steep,inverted_flat",1
spx,C1,bottom,2016-02-11,,2016-02-11,normal,"bear_steep,normal",1
spx,C2,top,2019-07-26,0.2605739119082796,2019-07-26,normal,"bull_steep,inverted_flat",0
spx,C2,bottom,2020-03-23,,2020-03-23,normal,"bear_steep,normal",1
spx,C3,top,2022-01-03,0.2542509661923039,2022-01-03,"bull_steep,normal","bull_steep,inverted_flat",1
spx,C3,bottom,2022-10-12,,2022-10-12,"bull_steep,inverted_flat,normal","bear_steep,normal",1
spx,C4,top,2026-08-07,,2026-08-07,normal,"bull_steep,inverted_flat",0
tlt,C1,top,2015-01-30,0.1666907407133583,2015-01-30,"bull_steep,normal","bull_steep,inverted_flat",1
tlt,C1,bottom,2015-06-26,,2015-06-26,"bull_steep,normal","bear_steep,normal",1
tlt,C2,top,2019-08-28,0.0833559341666889,2019-08-28,normal,"bull_steep,inverted_flat",0
tlt,C2,bottom,2019-12-31,,2019-12-31,normal,"bear_steep,normal",1
tlt,C3,top,2020-11-20,0.4875239956771644,2020-11-20,"bear_steep,normal","bull_steep,inverted_flat",0
tlt,C3,bottom,2023-10-19,,2023-10-19,"inverted_flat,normal","bear_steep,normal",1
tlt,C4,top,2024-12-06,0.1306282647609264,2024-12-06,normal,"bull_steep,inverted_flat",0
tlt,C4,bottom,2026-08-10,,2026-08-10,normal,"bear_steep,normal",1
