date,open,high,low,close,volume
2025-10-16,194.27,194.8,193.53,194.25,410.46644996
2025-10-15,202.9,209.08,192.46,194.16,32914.12791986
2025-10-14,209.28,211.53,191.51,202.78,45698.42087298
2025-10-13,197.36,209.63,190.61,209.13,50187.05928886
2025-10-12,178.05,199.2,173.67,197.51,119749.35298971
2025-10-11,188.41,191.46,173.04,178.04,277581.97574603
2025-10-10,221.19,224.61,164.0,188.39,103370.2710724
2025-10-09,229.22,229.67,216.81,221.06,27314.74084324
2025-10-08,220.39,229.77,217.73,229.06,21322.09827066
2025-10-07,232.35,235.13,220.0,220.21,34840.85834361
2025-10-06,228.4,237.73,227.79,232.38,31470.56990109
2025-10-05,227.84,237.38,226.59,228.4,41086.73413094
2025-10-04,232.89,233.86,224.29,227.96,16073.93875791
2025-10-03,234.7,236.97,227.42,232.44,21891.96639773
2025-10-02,221.97,234.9,219.85,234.8,48241.8730858
2025-10-01,208.79,222.89,206.51,222.14,29339.02545727
2025-09-30,213.1,214.0,204.51,208.69,26824.07889514
2025-09-29,211.12,215.04,205.15,213.44,21366.74113451
2025-09-28,204.1,211.46,198.72,211.33,12908.66022275
2025-09-27,205.38,205.94,200.36,203.91,7855.10601576
2025-09-26,193.05,205.85,191.29,205.54,27576.08237979
2025-09-25,211.86,212.77,191.78,193.02,43300.30318768
2025-09-24,213.82,216.83,205.25,211.98,16121.77997665
2025-09-23,220.74,222.16,212.76,213.72,16694.98306111
2025-09-22,236.6,237.29,214.3,220.75,55803.104793
2025-09-21,239.69,242.1,235.79,236.66,6489.94641033
2025-09-20,238.97,241.58,237.33,239.83,3369.16781867
2025-09-19,247.58,248.47,235.62,238.89,22939.43319469
2025-09-18,244.88,253.45,242.75,247.58,19664.01271453
2025-09-17,237.04,246.68,232.45,244.85,18751.10535832
2025-09-16,234.81,241.61,231.67,237.01,25450.96324983
2025-09-15,240.27,244.48,230.64,234.81,16548.01238184
2025-09-14,242.44,249.45,239.62,240.29,13122.76242695
2025-09-13,241.97,243.92,235.45,242.45,17969.52316316
2025-09-12,228.53,243.83,228.09,241.97,22015.8784463
2025-09-11,223.91,228.81,221.72,228.52,12282.85797308
2025-09-10,217.22,225.8,215.36,223.91,28221.08580542
2025-09-09,214.11,219.47,210.95,217.22,33214.46446078
2025-09-08,206.51,217.0,205.79,214.11,21429.52277351
2025-09-07,200.25,207.95,200.21,206.52,4540.24249204
2025-09-06,203.28,204.34,199.79,200.24,7189.24211349
2025-09-05,202.67,210.24,201.33,203.3,26879.47778436
2025-09-04,211.07,212.19,202.33,202.67,4555.52867719
2025-09-03,209.92,213.26,207.79,211.06,14249.09929962
2025-09-02,197.61,209.92,197.15,209.92,31473.37021284
2025-09-01,200.98,204.71,194.61,197.49,22431.12829304
2025-08-31,203.07,206.93,200.7,200.99,13338.38561064
2025-08-30,205.43,207.27,197.82,203.07,11515.68634348
2025-08-29,214.73,218.2,200.31,205.3,35756.12244007
2025-08-28,203.23,217.05,202.19,214.73,32365.85357151
2025-08-27,196.2,212.34,194.25,203.13,33593.74961705
2025-08-26,187.54,198.41,185.93,196.2,19545.03978691
2025-08-25,206.3,213.7,185.93,187.57,49943.60897935
2025-08-24,204.42,212.21,201.48,206.28,31322.93573202
2025-08-23,200.92,208.53,195.63,204.39,34643.01705577
2025-08-22,180.69,202.45,177.67,200.93,57157.94240016
2025-08-21,188.21,190.35,179.88,180.69,16553.8578374
2025-08-20,176.54,188.22,176.52,188.22,18319.32871938
2025-08-19,183.17,186.08,176.15,176.52,21925.54676215
2025-08-18,191.17,191.49,180.26,183.17,19867.12642614
2025-08-17,189.89,195.95,187.71,191.22,23608.89921216
2025-08-16,186.05,190.21,185.45,189.9,8207.10115706
2025-08-15,192.67,198.23,183.68,186.09,42099.70205068
2025-08-14,201.3,209.49,187.0,192.67,78097.323081
2025-08-13,191.58,204.44,191.4,202.7,42375.02007883
2025-08-12,175.01,193.62,173.69,191.66,48409.0909568
2025-08-11,182.89,186.76,173.67,175.02,50260.27789974
2025-08-10,180.07,186.19,177.7,182.91,31284.94924042
2025-08-09,176.92,183.46,176.92,180.06,21379.87013313
2025-08-08,175.61,179.75,173.34,176.91,100066.8619548
2025-08-07,168.33,175.62,167.0,175.62,35339.68173542
2025-08-06,164.17,170.09,161.29,168.35,20111.855692780002
2025-08-05,169.74,171.71,161.46,164.17,22342.04550138
2025-08-04,162.18,169.91,161.6,169.73,23211.38876388
2025-08-03,158.77,163.32,156.63,162.18,14972.25471219
2025-08-02,162.94,165.5,156.12,158.8,19958.31284506
2025-08-01,172.36,172.4,159.43,162.96,66307.56634967
2025-07-31,178.01,182.84,171.75,172.2,33398.62072037
2025-07-30,181.72,182.69,170.78,177.98,24488.871598499998
2025-07-29,183.25,186.75,178.63,181.71,9460.72932887
2025-07-28,188.81,195.39,182.52,183.29,18821.00590045
2025-07-27,185.04,190.81,184.8,188.86,9415.71128911
2025-07-26,186.96,189.83,184.62,185.03,3660.01285146
2025-07-25,182.88,186.47,175.86,186.47,20222.44921169
2025-07-24,189.58,192.1,179.49,182.93,15707.8568446
2025-07-23,205.71,205.71,184.4,189.61,34664.42112463
2025-07-22,195.64,206.26,193.92,205.73,48577.080325330004
2025-07-21,181.44,199.27,178.33,195.64,53651.19710495
2025-07-20,177.03,183.55,176.44,181.47,27167.40100803
2025-07-19,177.39,178.51,174.1,177.01,12841.32148323
2025-07-18,175.9,184.78,173.44,177.39,32844.3033439
2025-07-17,173.81,178.07,168.79,175.89,16870.71592401
2025-07-16,164.12,176.02,161.83,173.74,19464.31961411
2025-07-15,162.25,164.37,157.39,164.1,9588.44978807
2025-07-14,160.93,168.53,160.56,162.26,19933.83851751
2025-07-13,160.52,163.86,159.51,160.93,4555.37083059
2025-07-12,162.72,163.65,157.56,160.47,8744.71334459
2025-07-11,164.25,168.19,159.38,162.68,9849.59848898
2025-07-10,157.27,165.25,155.94,164.2,17878.25251232
