date,open,high,low,close,volume
2025-10-16,2.4153,2.4175,2.4052,2.4125,6060.639791
2025-10-15,2.5091,2.5518,2.381,2.4152,1095277.04461004
2025-10-14,2.6106,2.6251,2.392,2.5092,2139351.79066984
2025-10-13,2.5334,2.6489,2.5182,2.6103,1213536.95208906
2025-10-12,2.3888,2.5868,2.3167,2.5334,747059.92426736
2025-10-11,2.3691,2.5105,2.3077,2.3878,3613295.2845882
2025-10-10,2.8047,2.84,1.0,2.3705,10639272.87316415
2025-10-09,2.8813,2.8813,2.7718,2.8056,969804.08296963
2025-10-08,2.8542,2.9252,2.8345,2.8813,431774.77337662
2025-10-07,2.9884,3.0,2.8414,2.8545,1259724.20704543
2025-10-06,2.9691,3.048,2.9579,2.9884,678193.51550266
2025-10-05,2.9685,3.07,2.9488,2.9692,511905.12557479
2025-10-04,3.0376,3.0497,2.9397,2.9686,482494.18167636
2025-10-03,3.0396,3.095,3.0067,3.0376,536290.88931151
2025-10-02,2.9505,3.1015,2.9433,3.0394,702377.83414257
2025-10-01,2.8472,2.9622,2.8138,2.9505,647931.70312648
2025-09-30,2.8856,2.9118,2.8184,2.8471,546956.01820805
2025-09-29,2.8733,2.932,2.85,2.8856,469826.42396537
2025-09-28,2.8122,2.8733,2.7755,2.8733,192809.35568777
2025-09-27,2.7898,2.8347,2.7698,2.8123,161863.01961701
2025-09-26,2.7474,2.8146,2.7058,2.7901,1229453.79508676
2025-09-25,2.9305,2.9484,2.7305,2.7475,1010212.96856681
2025-09-24,2.8309,3.0,2.7981,2.9304,585580.57611034
2025-09-23,2.8549,2.9004,2.8053,2.8308,481243.55787293
2025-09-22,2.9761,2.9796,2.7174,2.8549,1993544.40306505
2025-09-21,2.9809,3.0179,2.9602,2.9761,147008.8205256
2025-09-20,2.996,3.0129,2.9722,2.9809,273551.87961222
2025-09-19,3.0751,3.0928,2.9855,2.996,753038.26873081
2025-09-18,3.0856,3.1386,3.0581,3.075,1038576.06540528
2025-09-17,3.039,3.1086,2.9847,3.0857,1144003.15803484
2025-09-16,3.0014,3.0604,2.9701,3.0389,425477.01143061
2025-09-15,3.0347,3.0729,2.962,3.0015,822867.88728714
2025-09-14,3.1194,3.1247,3.0113,3.0348,610111.65509739
2025-09-13,3.1053,3.1828,3.088,3.1194,1188323.2549868
2025-09-12,3.0389,3.1339,3.0168,3.1052,1247944.51513757
2025-09-11,2.9803,3.046,2.9508,3.0387,589756.74441237
2025-09-10,2.9473,3.0244,2.9391,2.9803,686796.96421881
2025-09-09,2.9694,3.0342,2.9341,2.9471,789218.94420823
2025-09-08,2.8794,2.9946,2.8652,2.9694,856952.89012922
2025-09-07,2.8107,2.9258,2.8107,2.8798,510612.93713698
2025-09-06,2.8126,2.8258,2.7982,2.8105,819796.80858945
2025-09-05,2.7998,2.8885,2.7833,2.8121,844991.52181027
2025-09-04,2.8478,2.8657,2.79,2.7998,356563.34890513
2025-09-03,2.867,2.8918,2.8165,2.8478,559576.09706175
2025-09-02,2.7617,2.8684,2.7537,2.8671,800116.8333635
2025-09-01,2.7798,2.8404,2.7,2.759,1330036.27642359
2025-08-31,2.8229,2.871,2.7756,2.7801,359697.9208717
2025-08-30,2.8227,2.8389,2.7664,2.8226,402441.95961081
2025-08-29,2.9717,2.9796,2.78,2.8227,1517242.54918207
2025-08-28,2.9735,3.03,2.948,2.9717,487443.19249883
2025-08-27,3.0169,3.0496,2.9669,2.973,601512.69952556
2025-08-26,2.8638,3.0875,2.8517,3.0172,600473.46567877
2025-08-25,3.0298,3.057,2.8308,2.864,1337017.84667586
2025-08-24,3.0525,3.1303,2.9948,3.0298,1516350.13354512
2025-08-23,3.0789,3.0789,2.9743,3.0524,1361019.3016969
2025-08-22,2.8568,3.1094,2.788,3.0791,2348720.71731725
2025-08-21,2.9561,2.964,2.8486,2.8564,733915.57742869
2025-08-20,2.8645,2.9935,2.8254,2.9561,1723081.84258561
2025-08-19,3.0651,3.0844,2.8557,2.863,1973588.3936916
2025-08-18,3.0912,3.1009,2.9426,3.065,1819753.60439138
2025-08-17,3.1095,3.15,3.0789,3.0912,397816.69555576
2025-08-16,3.0826,3.159,3.0777,3.1101,391828.12573841
2025-08-15,3.0824,3.1467,3.0057,3.0828,856797.61750021
2025-08-14,3.2759,3.3472,2.9781,3.0827,2819122.66565961
2025-08-13,3.2659,3.3283,3.2015,3.27,800316.86746616
2025-08-12,3.1336,3.3055,3.1086,3.2662,1651169.17640389
2025-08-11,3.1901,3.3356,3.1216,3.1339,2087270.73268853
2025-08-10,3.2276,3.2794,3.1559,3.1901,855260.88323184
2025-08-09,3.2881,3.3481,3.212,3.2276,635760.86520814
2025-08-08,3.3223,3.3839,3.21,3.2881,4495157.23169073
2025-08-07,2.9952,3.3353,2.9686,3.3224,1932625.78768696
2025-08-06,2.9639,3.0213,2.9053,2.9952,1016882.34491856
2025-08-05,3.0746,3.1072,2.9173,2.9657,993693.85404215
